lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
5539.302214381334,0.2487982827,5538.655579773651,5539.764133219169,1.0
5540.822156772113,0.187395577,5540.175344732812,5541.284202356964,1.0
5540.822601522609,0.1816950373,5540.17578943139,5541.284647144547,1.0
5544.733807997177,0.4986999507,5544.08653932833,5545.1961797721,1.0
5544.734048923134,0.4871870573,5544.086780226162,5545.196420718146,1.0
5545.480050174801,0.5189806031,5544.832694392812,5545.9424841783775,1.0
5548.050660976279,0.4496806254,5547.403005112106,5548.5133093414315,1.0
5553.5142492427485,0.0618678519,5552.8659555824925,5553.977353213002,1.0
5556.431409501292,0.589678021,5555.782775304141,5556.894756731657,1.0
5561.759321624436,0.4645210542,5561.110065469457,5562.223113145956,1.0
5564.256663030844,0.497075507,5563.60711534684,5564.720662804052,1.0
5567.256752066855,0.5864370167,5566.606854165202,5567.721002015553,1.0
5571.17147226685,0.726399959,5570.521117377392,5571.6360486615395,1.0
5577.644246992164,0.7056320007,5576.993136498483,5578.109363147361,1.0
5580.273195170217,0.5029076055,5579.621777784295,5580.738530551707,1.0
5586.322657208085,0.3379023871,5585.6705336336645,5586.788497050311,1.0
5586.323127679998,0.3426626078,5585.671004050657,5586.788967561457,1.0
5588.31441734453,0.731940097,5587.662061260493,5588.780423278349,1.0
5588.314464144237,0.7284950506,5587.662108054737,5588.780470081958,1.0
5590.309280936323,0.8166108929,5589.656691980385,5590.775453220531,1.0
5590.309379007829,0.8091071257,5589.6567900404425,5590.775551300214,1.0
5595.2926478325635,0.3538376549,5594.639477139545,5595.75923567652,1.0
5609.223785655403,0.1561113441,5608.568988700539,5609.691535207955,1.0
5610.5383974977385,0.1063636341,5609.883447080673,5611.006256674924,1.0
5612.916190325582,0.1090192778,5612.260962335084,5613.384247785378,1.0
5617.21813133328,0.7089654958,5616.562401152464,5617.686547529161,1.0
5620.19613037863,0.4543264557,5619.5400525588575,5620.66479490793,1.0
5621.163033196567,0.3151206083,5620.5068425046675,5621.6317783552695,1.0
5623.172510171206,0.0793764997,5622.516084901502,5623.641422898897,1.0
5629.199990915922,0.2502676829,5628.542862023723,5629.669406271343,1.0
5630.213953361232,0.1709698272,5629.5567061033635,5630.683453270326,1.0
5635.512671893171,0.5112638031,5634.854806085412,5635.982613658985,1.0
5637.389656566236,0.3397864568,5636.73157164726,5637.859754852592,1.0
5638.2646625804255,0.2184073468,5637.606475516965,5638.734833832968,1.0
5644.654718835483,0.1640324295,5643.995785824003,5645.125422950694,1.0
5647.175519782588,0.2188736071,5646.516292503514,5647.646434105764,1.0
5648.804692855844,0.1379622796,5648.1452753940275,5649.275743034711,1.0
5652.256983654721,0.3169002867,5651.5971631871425,5652.72832171789,1.0
5653.041087948264,0.191943903,5652.381175947681,5653.512491397385,1.0
5653.888774524343,0.2614722017,5653.228763568431,5654.3602486615,1.0
5655.437464121048,0.3507400943,5654.777272377692,5655.909067402432,1.0
5664.089049985819,0.6363725615,5663.427848293083,5664.561374717367,1.0
5670.607161741862,0.2313575773,5669.945199152451,5671.080030014543,1.0
5672.426477872314,0.2252010054,5671.764302903666,5672.8994978565925,1.0
5673.3902289773205,0.1354042854,5672.727941504464,5673.863329328183,1.0
5709.986377493694,0.4333942145,5709.319817941933,5710.46252957377,1.0
5733.356105102993,0.4903057151,5732.686817468512,5733.834205969576,1.0
5794.67827958628,0.2806613279,5794.001833461669,5795.161494069431,1.0
5795.525023526534,0.3232942556,5794.848478556632,5796.008308619115,1.0
5797.692222019418,0.0899186092,5797.015424059971,5798.1756878332835,1.0
5813.530004752455,0.1208481533,5812.851357957536,5814.014791268804,1.0
5816.422727187948,0.227765322,5815.743742708901,5816.907754926555,1.0
5817.980667605446,0.4849158567,5817.301501259053,5818.465825259699,1.0
5823.490186897825,0.0573468994,5822.810377393556,5823.975803987338,1.0
5829.498333179258,0.1300390733,5828.8178223095165,5829.984451284213,1.0
5833.217895155652,0.1987004781,5832.536950080047,5833.704323432479,1.0
5836.718297929868,0.1405602286,5836.036944232114,5837.205018103025,1.0
5839.32401354408,0.101143443,5838.642355666156,5839.810951006181,1.0
5839.9936046756375,0.1780614596,5839.31186863249,5840.480597974511,1.0
5859.074181381663,0.6997980497,5858.3902179530505,5859.562765797517,1.0
5859.074206301537,0.7073442358,5858.390242870016,5859.562790719469,1.0
6035.708017974965,0.083251445,6035.003435062668,6036.2113317724925,1.0
6037.012876443683,0.0633235586,6036.308141207754,6037.516299052517,1.0
6038.1267482048,0.0632335056,6037.4218829402125,6038.630263698682,1.0
